ID,Text_Input
106,"I have very little interaction with my leader. Thankfully my position does not require very much supervision or direction. However, we interaction is needed it can be very difficult to get the needed time from him, he often will miss scheduled times to tak as well. I think that most people I work with have a very similar relationship with him as I do. He does try to be motivational and provide valuable information, but when you need something from him it can prove difficult to get the time you need. He shws more in word than in deed that he respects me. Overall we have a good relationship, but I get most of what I can done without him."
107,I have a great relationshup with my leader. He always coaches me and the entire staff so that we could be better educators. He respects us because he always ciritiques us in private but loves to publicly give us praises. I have a closer relationshup to hi than most of my colleagues because I am the chairperson for our insrtructional team.
108,"My boss is great at playing to the strengths of each of our employees. When someone is hired on, after they are trained, my boss takes the time to chat with them, figure out what they are best at and what they enjoy doing the most, and then works with the to set them up to do more of those types of things. I believe she treats all of our employees equally, and there has been no display of favoritism."
109,"My leader provides us with weekly training for the entire organization. There are many of us who are able to have coaching calls and other communications with my manager. My leader does not do a great job in showing respect to me. My relationship with my eader is not as good as my coworkers. I do not feel entirely appreciated, and in fact it seems to be there is some issue between us, though I do not know what it is."
110,"My leader gives me the opportunities I need to work independently and grow and learn how to better and more efficiently how to do my job. However, he is always available for me to ask questions to improve myself if I don't know how to do something the bes way possible, because he recognizes that the outcome is more important than the method."
111,My manager doesn't provide much coaching. He expects me to figure out how to do things. He is always willing to give me a direction when I have a question. My manager has a more professional relationship with me. He has a more friendly and personal relatinship with other people in the department because eh ahs worked with them longer.
112,"my leader is very good, he directs me to do the right thing and he is fair in the tasks he gives me to do. i enjoy working for him and I am happy to come to work every day. he treats me with respect and treats my coworkers the same also. i feel as if my lader is very good at doing his job and I do not regret working under him"
113,My boss provides coaching in the way of encouragement in wanting me to do better and continue improving in my abilities by assigning me more work tasks and more challenging projects. He shows respect for me by not making me drive a bigger truck than what  am comfortable with. I drive a small truck for work to transport hazardous waste and I am not comfortable driving a bigger one and he does not make me since I help out in many other ways that the other drivers do not help out with. Other relationships hehas- two guys- they swear at each other and often argue but then in his own ways of apologizing or giving back to them he gives one more freedom in lack of work duties and the other takes out to lunch.
114,"My working relationship with my leader is exemplary.  Since we have been working together now for almost two decades there is very little coaching and development at this point but they always provided it earlier in our careers.  My leader respects my exprtise greatly, always deferring to me to advise or even make decisions when it involves my personal work experience.  My relationship with my leader is slightly better than the leader has with other coworkers due to our longevity of working together, but therwise my leader treats everyone the same."
115,People who have been there longer probably get more attention or reciprocation than I do. My manager expects me to learn more on my own and does not neccesarily return favors. I don't know how he would. I am shown respect mainly by being able to choose myown hours. When I have something personal to do I can take the day off without problems. I am given freedom with my hours and sometimes I can choose which tasks to complete before others depending on what it is.
116,"I think that he respects me because he asks me what happened before he assumed I did something wrong. He likes to get a perspective first. However, he doesn't do much in the way of coaching. I think that's because he doesn't really know what's going on. Ithink my coworkers have a greater understanding, so they're better resources."
117,"The chairmen is our department leader who I report directly to. He sets and holds a hide standard. With this he gives a lot of freedom for us to complete our work at our own pace and skill. If you are not producing, we will put the hammer down but other tan that he is very supportive and if I need any assistance he will get it done."
118,"My leader does an excellent job cultivating an independence in my practice. To do this, she takes time to correct my deficiencies and provides real-time feedback on how to improve for the next assignment. She takes time out of her schedule to go over assinments in details. She provides this same level of insight with other co-workers while they are on service with her."
119,"My leader shows that she trusts me. Over the course of the last year she has a propensity to defer decisions to me that show me this trust. I can tell this is a different relationship than what she has with others, but it is beneficial to the both of us. y giving me the ability to decide things, she shows she cares. My leader shows incessantly how much she believes in me by telling me how a good job is done and how she has elevated expectations for me."
120,"My leader doesn't much care for his people. Even when i excel, my leader doesn't appreciate or acknowledge at all how well i'm doing. Couple that with the fact that i don't get pay raises, it's very humiliating and demoralizing at times. It makes it very ard to go to work and do my job. I don't much care to excel anymore because i know he won't care and i will only do the minimum."
121,"My leader provides virtually no coaching/development, and generally makes capricious demands. That said, he does this to our entire team, so I don't take it personally- he's just a bad manager. We have corporate-dictated progress meetings/development goal, but he ignores them and evades our efforts to get him to abide by policy."
122,I am very lucky because I have a great boss/leader.  He values my work and encourages me.  I enjoy working for a leader that is easy to talk to.  He is very easy to go to with issues and always helps me find resolutions.  He is a good manager to everyone. He is always friendly and easy to approach.  He makes the workday easier and less stressful with his playful and encouraging attitude.  He also does a good job of acknowledging my successes.
123,"My leader has faculty meetings for us every month and that's somewhat coaching.   My leader does not need to show us respect.  My leader has announcements for us everyday that points us in the right direction of what needs to be done.  Also our leader emals us with updates for the week ahead, gives us a schedule of whats going on in sports and other extracurricular activities.  He shows me by being a leader and giving a great vision for the school at which I work.  The relationship with other workers is te same as the one with me."
124,I good relationship with my leader.  He really lets me work with little supervision.  I think he could be more attentive to my needs to make more money.  He does compare very well to other leaders I have worked with.  He does have the skills to lead.  I jst think there is a time when someone needs to also nuture and a lead   it comes down to just helping out
125,"1) My manager, or as we refer to it ""team leader"" doesn't offer coaching to me, as I've been doing my job much longer than he has, and he is comfortable with my judgement. 
2) My team leader calls, texts, and emails me to thank me for accomplishing specifc tasks, or to compliment the manner in which I completed them.
3) My co-workers have a similar relationship with the team leader, though as I am his direct subordinate I have more regular interaction with him."
126,My manager does not need to provide coaching and development. When I was hired it was assumed that I was pre trained and ready to work. My job also entails a skill set that my manager does not have. I know that my manager respects me because he gives me te freedom to do whatever I feel fit to complete my job. My relationship with my manager is cordial but much more formal than it is with my co-workers.
127,"My leader provides me with some amount of coaching, however, the vast majority of my development comes from research I have done outside of work and that can be frustrating as he will just tell me to figure something out and it will be much harder a task han he thinks it is. To be fair though, my leader often shows praise and respect for me, and I would say the respect shown is comparable to my co-workers."
128,"I would describe my working relationship with my manager as extremely positive. The coaching he provides does help me actualize my goals, and the respect shown is great for the workplace. We all work together as one team, one entity, so it's great to havesuch positive relationships with the office. Overall, the experience with both my co-workers and manager and the workplace in general is extremely positive."
129,"I have a you leave me alone, I'll leave you alone relationship with my supes. They have no real power to do anything about anything here anyways. Everything is so tied up in the union and bureaucratic bs that its a pointless position. They can threaten mebut the union will protect me from their idiocy. They cant do anything and they know it. So they stay out of my business and let me do my job how I see fit, and I try not to make excessive work for them. Its an understanding that works for us."
130,"There is no coaching. We talk about what needs to be done that day at the job. We discuss how we will go about doing it and what it the best way. When then both get down to work and if questions arise or concerns throughout the job, we will pause and talkto each other."
131,"My leader provides me as much coaching as I require in order to do my job well. He also occasionally calls me, especially on nights that he knows that I am working late, to make sure I am okay and still motivated.  I think I have a better relationship wit my leader than many of my coworkers because I work harder than my coworkers and my leader respects that."
132,"Provides enough coaching when the situation calls for it. Provides enough development when the situation calls for it. Provides appropriate respect, although there could be more respect shown to boost our confidence higher. Relationship are unequal betwee coworkers and leader as most tend to take leader's considerations first. Seems to not show favoritism although I am not sure."
133,My manager and I work well together but she does like to micro-manage a little too much. Overall she likes telling others exactly how to do things but tries to give incentives. When I have a problem she will help me find a solution. I think my manager truts me more than my coworkers as I am older and have been with the company the longest of anyone there.
134,"1) My project manager allows me to develop my skills and do stuff I'm not familiar with. Not really coaching since he's no expert at what I'm doing at work.

2) Has never yelled at me. I can usually negotiate with him (e.g. have to leave earlier, want to ork remotely, need to have a day off). Gives me positive feedback.

3) I think our relationship is very professional and on the same page as with others."
135,my boss is usually very forthcoming with any new information about the company and the direction in which we are going.If i am doing well my boss will really praise me and anyone on my team for doing well on any job that we are given.he treats every one wth dignity and respect just the same as he does with me.my supervisor really knows how to handle and lead a team and does it without being hated or resented unlike some bosses that i have had in some of my past jobs and positions.
136,"My supervisor is removed from the day-to-day operations of my department, so much that all training is done by other employees. It is difficult to implement effective changes to processes and work flow because of my supervisor's detachment. My supervisor oes not show respect for any employees in that she ignores direct communication, demands overtime, and does not perform employee reviews as required by the company."
137,My boos and I exchange ideas on a daily basis. He often asks for my opinion in matters that occur through out the day. We bounce ideas off of one another and see how they fit into the grander scheme of things. My boss thanks me every day for my contributins to my job.
138,My leader motivates me well in work and guide me well in profession ........... ................ ........ ............ ........... ............... .... ..... .... ..... .... ... ... ... .. ... ...... ...... ..... ..... .... .... .... .... .... .... ..... ... ... .... ..... .... ... ...... ..... ..... ..........
139,"There is very little relationship between myself and my ""leader"".  I'm new to the area I work in and I feel mostly ignored by him.  He will always stop to talk to my coworkers, but I may as well not even be there.  My coworkers are the ones who train me.  have been in this new department for about six weeks now and I am learning my new responsibilities, but little of this training has been from my supervisor.  He seems content to sit back and watch my progress."
140,my relation with my coworker is very good. It is just like my best friend and my well wisher. No one in my life I have git before caring for me soo much. He always provides me coaching and make me learn everything very nicely. My relation is better than ohers workers .
141,"My leader only gives me the mandatory new info from our corporate branches when they mandate it. Otherwise she just does her own thing and doesnt coach or develop anyone. My leader's only concern is about making money and profiting the company, she does nt discuss anything else.I think all of the people at my company have the same relationship with my leader and that is a direct one concerning work and nothing else."
142,"My leader does not provide much coaching but will provide tips or advice whenever I need it. My leader shows me respect by listening to my concerns and treating me with integrity. My relationship with my leader is the same as my co workers. We are all treted fairly without any biases. He does not favor anybody, if your work is good, you will get benefits."
143,"My leader doesn't really coach me or help me develop.  We both have pretty similar job requirements.  The only reason he is my boss is because he has longevity at the company and was given a higher position.  We both do the same things and it's not reallyrelevant for him to coach me.  He does respect me, and I respect him.  We don't respect each other in a leader/subordinate kind of way.  It's more of we respect each other in a professional colleague sort of way."
144,"My manager always show me respect in the office. Also provides incentives for doing more than is described in my work contract. When I need so advice he generally has some to give. Sometimes it is even good advice. There is always a friendly word availabl. I seem to be one of his favorite employees, for example when I want a few hours to myself I get it, most other employees are simply told to get back to work."
145,"I think my relationship with my leader is comparable with that of my co-workers. While there is some feedback, mainly we are expected to work on our own and manage our individual workloads and responsibilities. Obviously, if we make a mistake we hear abou it or if a client is very happy, our leader lets us know."
146,My working relationship with my leader is a very friendly yet professional one. He always takes the time to show me the reasoning behind the decisions as well as explaining to me how to fix problems. My relationship with him is the same as well as my co-wrkers. He treats us all the same and that is with respect and kindness.
147,"He is always available to help me with things I don't know or don't understand. He's usually very nice and understanding when helping me with these things and shows respect like that. Sometimes, he gets frustrated if I do something wrong or if I don't remmber how to do something and then he's short with me but still helps. My coworkers that are good at their jobs or very friendly have better relationships with him than I do -- my coworkers that are worse at their jobs have worse relationships than I do."
148,"My leader doesn't regularly provide feedback or coaching.  She does value my contributions and has given me consistently positive performance reviews.  However, she micromanages my work and wants to be involved in every little decision I make.  She does te same with my teammates and ends up being a huge roadblock to us completing our work."
149,My leaders provides a lot of support and is always helping me on issues I have. My leader always shows that he knows what is going on and makes sure he takes his time with me. Our relationship is much more formal than with my other coworkers in the office I like it here.
150," My relationship with my leader is very one sided. He tells me a lot of the problems with the company and his personal life, but I don't share any of my problems. He does try to teach me different things about the construction industry by showing me exacty what he is trying to do for each project. He also tells me that I have contributed to the company's success and appreciates my efforts. I do believe that my relationship with my leader is very similar to the relationship he has with all other employees,as he is very open about his problems."
151,"My supervisor gives me the coaching I need and then allows me to independently do my work. If I have questions or concerns, I can freely and easily go to her knowing she will attempt to help me or give me answers. I feel respected in that she allows me todo my work without micro-managing me or invading my privacy. My supervisor is equally kind and respectful to all of our coworkers and her other subordinates, but I believe she has a strong sense or reliability in me. She knows I will get my work done."
152,"My leader is very compassionate and caring and will help in any way possible. If I do a favor for her eventually she will do one in return. She values me and my co workers and is always saying nice things. She very rarely yells or has to reprimand us we rspect her as she respects us, she can always be counted on and my co workers feel the same"
153,I've been working with my supervisor for about eight years now.  There wasn't too much coaching since we've been working in the same field for about 15 years. My supervisor lets me do my own thing and set very loose requirements for what I needed cheapo wrk. My relationship to my coworkers compared to my supervisor is more of a friendly role.
154,"My manager is new in the field and does extremely well.  She is very forgiving, has no issues when my co-workers or I need her help with decisions or managing customer relations.  She always has our back.  As well, if my manager needs help, she does not hsitate to get opinions or advice from her employees.  She is possibly the best manager I have ever dealt with, especially considering her young age and length of time in the business."
155,She is very supportive and keeps me going when times are busy.  As far as coworkers go she treats everyone the same and is pretty upbeat most of the times.  She has no problem jumping in and helping when 
156,My leader does not provide me with a lot of coaching themselves. They do give me access to materials for professional development though.  My leader shows respect by understanding that I require a good work life balance.  My relationship with my leader isthe same as with other employees.
157,"When I joined the company, I had little to no experience in my role. Day 2 at my job, my lead took me into a major meeting and told me to run the meeting while he messaged me a few tips and pointers. I feel like they definitely respect me and our entire tam has a relevant relationship with him."
158,My leader always try to keep me up to date on my job's area. She always want me to keep learning to improve my skills. She respects me very much and she tells me the truth no matter how hard it is. She's the same with me and all my coworkers. She treat usfairly and doesn't have favorites.
159,my manager trust and believes in me he is willing to listen to me and my ideals.if he really needs to get things done i am his go to guy i do on occasion stay late if im needed to get things done  and on some occasions he will let me leave early if i needto without holding me accountable
160,"My manager provides me with a minimal amount of coaching, leaving me to figure out what must be done at work. My leader shows average respect by sometimes being a help, and other times, by being a hassle. My relationship to my boss differs from my co-workrs, simply because they have had years of employment with the employer, so this has given them more time to form a personal relationship with the manager."
161,My leader provides some coaching and development but not as much as I like. There are times I feel at a loss because I have not had enough training. It slows my work progress down. When we have a new product is when I feel it the most. Just seems like thee is no urgency on my leader's part to get me up to speed. My leader treats everyone the same way.
162,"My supervisor is polite towards me, and enthusiastic or seems to be about the job. But I don't think that s/he is very caring or concerned about my well-being on the job. S/he seems simply to care about doing a good job for the institution and maybe makin a promotion."
163,"My working relationship with my leader is too good. I am so lucky that my leader provides me a best guidance in each and every field of my work. My leader is a very gentleman person. He always ready to hear our problems and queries. He also solved out it s fast as possible with great efforts. Moreover, we all co-workers have very good bonding with our leader."
164,My manager focus on  the job training by coaching me on specific skills needed to enhance my performance. He appreciate my work by praising me in front of others and shows his respect to me . My relationship is good with my leader with mutual trust   and aving a better relationship than others.
165,"I have a strange relationship with my manager.  She's very concerned about her job security and that fear or worry colors all of her interactions.  It makes many things uncomfortable - my development, my interaction with others in the company - both of whch she wants to monitor and closely watch.  It has made my networking in the company strained and stilted.  But, I like her as a person.  I would even consider her a friend.  This management style is awful and she's so nervous people will go behind her bak or talk negatively about her that she inserts herself in every team member conversation.   She needs some management training."
166,"Sometimes I feel like it is hard to talk to my leader. He plays favorites. He does appreciate my work and thanks me for my hard work. However, he forms friendships with the guys at work that he does not form with me and the other female workers. Additionaly, he often speaks poorly of some of the workers behind their backs. This makes me paranoid about what he really thinks of me."
167,"He is a weak person who doesn't know how to lead. He has always been under the thumb of his older brother who was his boss. He's since semi-retired but is still in the picture and officially my boss is the CEO, but he really isn't in charge. Therefore, hedoesn't command much respect."
168,"My relation with my leader is very positive. I know my leader concern about me and all co worker of my company.While the Leader top priority is likely to have hardworking employees who fulfill his vision for the company, it’s a safe bet that he’d alsolike to have more than superficial relationships with the people he works with every day. After all, he probably spends more time with his staff than he does with anyone else. My leader is much concern about us he help everyone to try best. He respect allthe staff equally. He makes judgement according to work"
169,I have a great relationship with my leader.  She understands my personal situation and is interested in my personal life besides my work life.  She respects me on a similar basis to the other members of our team.  She informes me of areas I need improvemet and areas I'm doing well.
170,I have a decent relationship with my leader. We started out on the wrong foot but our relationship has improved. She doesn't respect me and my wishes as much as I would like. I wish she would consider my input on issues that affect me. I feel she shows a ittle favoritism to certain coworkers.
171,"(1) Our organization leader does not provide coaching and development, that responsibility goes to the managers under him. (2) Our leader always recognizes and speaks to us and treats us with respect. (3) I believe the relationship of our leader and my pers is the same or extremely similar to mine.  He is a very FAIR man."
172,"My manager offers her assistance in the form of an ""open door"" policy.  She encourages any employee who feels that they need guidance to see her.  She constantly reminds us that she used to be where we are and understands some of the challenges that we ma face.  Most employees do take her up on this offer because sometimes situations occur that we did not anticipate and we do appreciate having someone to go to that can answer questions.  We usually pass the information that we learn along to other co-workrs so that if a particular situation arises again, we will know exactly how to handle this.  This method really does come in handy because you find that as the years pass that you have fewer and fewer questions about your job because the question has alredy been answered previously and documented.  Personally, I use sticky notes and other forms of reminders to have needed information handy and ready to use when I need it.  I really don't like going to the supervisor for help because it makes me look incometent.  I like when I can find the solution to a problem on my own without asking for help.  I also like when others that are equal to me come to me for assistance.  I feel that this will help my chances for promotion sometime down the road.  In my opinio, the more others come to you and the less that you go to your supervisor for help, the better it is for you.  The supervisor will remember that you are the one who can work independently and give you a promotion before anyone else.  This is why my relatinship with my supervisor is so professional.  I make sure that I only bother her if I really need to.  I never just crack jokes or bother her for no reason."
173,my leader is always starts the shift asking how im doing  she then has an idea of my mood and show she cares  we work together as a team this way  things get done but wee are happy
174,"My working relationship with my leader is very good. It is two way; a give and take sort of relationship. My leader is helpful, willing to listen and provide feedback, and willing to encourage. My leader treats me and my co-workers equally. We always receve just treatment and are always respected."
175,My leader provides me with all the benifits I need. They show respect by honoring me. All our worker relationships are all the same compared to each other so it is very exciting to be a part of our work force. We are all treated the same by our boss.
176,"I think its fine, If i need help he helps. If other people need help he helps them too. He thinks that if you are working hard you should be rewarded. He is always friendly and courteous when talking to anyone. He puts his job on the line to make sure we et what we deserve, I have personally seen it more than once."
177,My coach and leader provides me with good development in the sense that he is always there to provide me guidance when I need it. He respects me because he pays attention to my opinion and at the same time he keeps a good professional relationship separat from anything inappropriate
178,He will some works not all the time
179,"We have a lot of freedom at my workplace, so my leader gives me a lot of creative freedom to figure out what works best toward accomplishing a goal. She has shown a lot of confidence in me, and the rest of my team as well. I feel lucky that she is not thetype of leader that is constantly hovering."
180,"My leader is focus on giving me the tools I need to make my work efficient. She shows me respect all the time by giving me a thank you note every time a I do something right and when the opposite happens, she explain to me what I did wrong and how to do i better.My relationship is very good, we can talk about anything with respect."
181,"She comes to me for some advice concerning work, but over all it's her decision. We have little bit of personal relationship but over all it's more work related. She shows preference to other workers because I don't kiss ass as a few of my co-workers do. ike I wanted to go to another department where I could have made more money, but in our company you can only leave if your supervisor allows you to and she made sure that wasn't going to happen."
182,My team leader provides good coaching and monthly one on one meetings with every member of our team. She treats us all with respect and handles issues in private rather than in team chat. I have had some personal issues come up that I have been able to beopen with my leader about and she has been very understanding. Our team leader is always great with helping us out.
183,I get a long well with my leader.  He provides a lot of coaching and development.  I can tell that he respects me.  I think I get along with him better than he gets a long with my coworkers because we are close to the same age and have the same experience and stuff.
184,"Well my leader had been in the game for about 20 years  so he knows what he is doing. He is very knowledgeable, and explains things in a way that you understand it and you don't feel dumb but actually smart"
185,I have a very mutual relationship with my boss. She is a very nice and understanding person who seems to care about most everyone she is in charge with. Whenever someone has a problem or question she is always very understanding and very helpful to us all She does a wonderful job as a supervisor and I value her very much.
186,my leader is an ass with no respect for me at all he takes credit for my work and blames me for his errors the only reason i keep working there is i need the money so my leader takes advantage of me because he knows this about my life
187,"My leader respects my output so doesn't provide much in the way of coaching and development. I've been doing the job for 15 years and am pretty good at it. This ability to work unfettered is how my leader shows me respect.  I have a good working relationsip with my leader, as do most staff members."
188,My leader doesn't see me as an equal in the organization and looks down upon me as an employee. My leader thinks they know everything and typically refuses to listen to any of my suggestions. My co-workers seem to be more well respected and receive favorseven when I don't.
189,"We don't have any sort of formal, or even informal, system for coaching and development. I feel like I get none. I'm not sure he respects me. I mean, he doesn't come right out and make fun of me or anything, but I get the feeling that my relationship withmy supervisor isn't anywhere near as important and satisfying to me as it is to other people in my group."
190,"Our leader did put a lot of effort into training us at the start of our job. He is very respectful towards the employees, also very strict and precise. In and out of the working environment we have a very good and friendly relationship and he has helped m alot in various situations."
191,I am the main cook at a college. I run the whole kitchen. I do have a boss that taught me every thing I need to do. After he taught me everything I needed to do he has basically just left me alone to run the kitchen. I am good at my job and he will check n every once in a while to check things out but everything is always good in my kitchen.
192,"I receive little coaching from my supervisor, she works in an office on a different floor and rarely interacts with her employees on a day-to-day. She has the same relationship with all employees; she seems to respect us, but does not communicate with us ften enough to really show it."
193,"1. My 'leader' is less of a coach and more of a goal focused individual.  My coworkers and I are heads down, get it done types who require little coaching. 
2. My leader understands that my team and I work better when left alone, and doesnt try to change hat.
3. we all have a similar relationship with the leader."
194,My leader does not provide direction to anyone and does not properly train the employees. Our relationship is small and does not consist of much communication as i disagree with his managerial style. He respects my efforts but has very low standards of woking when it comes to employees and other leaders in the store.
195,Not so much coaching as giving information on what the customer needs or wants serviced on project. gives me more guidelines to work with. as total cost and such. He always appreciates my work and says so to me and customers. get alot of praise. although he owner of the shop doesn't seem to want to pay me accordingly. He treats all the employees with respect. Even the ones slacking.
196,"my co-worker is very nice person , and  he is very perfect ,his coaching is very convenient for both, than very respectable person , not spacial relationship ,all of same,not compare to other person , he organized any body meeting , and spacial occasion ,e are all enjoy because of best co-worker"
197,"person with short-term or long-term responsibility — in the latter sense, usually a generic term; also, one given responsibility over an estate someone in authority or control, as a manager or supervisor or a politician who does not have official statusas leader of a political entity but has the actual power."
198,"My leader is honestly not big on coaching and development. I would like to see more of it. That being said, she is good at showing respect. She will ask my opinion and values my feedback which she does not do for everyone.

I think I have a similar relatinship with my leader compared to others on my team. There are those on other teams that she does not treat as well as she does our team."
199,My manager has weekly meeting where I can discuss my current work and also discuss developmental opportunities.Compared to other team mates I believe my manager holds me in higher regard because I have managed my work load without complaint. He will call r email whenever there are decisions to be made that impact our team and solicits my feedback.
200,"I have had the same direct supervisor for over 8 years. she is an awesome boss and a very hard worker. she shows me constantly how much she appreciates and respects me. she is very willing to help me if i need to learn something new. because i have workedwith my boss for many years we have a special relationship. i have a more trust in her that my co workers, some because they are newer and some because they aren't very competent. I really do trust her the most of anyone in our 400 plus employee business."
201,My organization has coaching and development opportunities available and my leader provides approval for most of the development opportunities or coaching. My leader behaves normally to me and a mutual respect is between me and manager. Manager doesn't shw that he respect me and I have not felt as well. My leader behaves the same to all even though sometimes he shows favoritism to few team members.
202,My leader provides a moderately high amount of coaching and mentoring to assist my development.  My leader very strongly shows that she respects me and the work that I do.  My coworkers also have a strong relationship with my leader and she provides them oaching and development assistance as well as shows them a high level of respect.
203,"my leader is very energetic and very care to person in my coworkers,and very respect in each situation,sometimes he angry mind but he said the causally happy to the talking with others.my relationship is friendly person to my leader.one time i give the wrng work in my company but he give  pardon ."
204,"I DO NOT HAVE A GOOD WORKING RELATIONSHIP WITH MY BOSS.  MY BOSS OFTEN TIMES WILL BE DISRESPECTFUL AND DEMANDING.  MY BOSS WANTS TO LOOK GOOD HERSELF AND WILL OFTEN TAKE CREDIT FOR THINGS THAT SHE DID NOT INSTIGATE OR ACCOMPLISH.  MY CO-WORKERS ARE DIVIDE IN THEIR SUPPORT OF MY MANAGER. THOSE WITH A COLLEGE DEGREE SEE HER AS A USER, THOSE WITHOUT A DEGREE, LIKE THE MANAGER, SUPPORT THE MANAGER."
205,"I think the working relationship with my leader is fair.  I would not hang out with them on the weekend, but I can be friendly with them.   I appreciate that they will say thank you and please when making requests.  They don't just act like a tyrant.  I tink they treat everyone with the same courtesy."
206,My leader is very supportive of my decisions and is also very willing to help and assist me with any questions or issues that I may have. We discuss detail in depth with future plans or goals for our company as well as ways to implement them seamlessly. H never hesitates to praise accomplishments.
207,"I am very familiar with the policies and procedures related to my position however, when something comes up that I am unfamiliar with, my leader takes the time necessary to acquaint me with whatever it is and is sure to follow up to make sure I am understnding whatever it was.

He always recognizes when I go above and beyond, accomplish something challenging, etc.. and often talks about where my career is/will/should go and what it takes to get there.

My manager treats all employees equally and fairly."
208,"I would call the relationship with my manager that of working friends. While they are in a position of authority we keep it cordial in the workplace. I know when it is time to buckle down and do the work, and my leader knows when they should play the roleof friend and the role of a leader."
209,"My leader/manager is very concerned about how my job is done.  So, I make sure I do my job well.  When I do my job well, I'm praised for it.  She and I have a mutual respect for each other, as it's not good to be on the bad side of your leader.  My relatinship with my manager is a little more professional, than with my co-workers."
210,I have a great working relationship with my supervisor. He often asks me to attend meetings with him so I can learn more skills. He shows that he respects me by giving me new projects and not micro managing. He seems to have the same type of relationship ith my other co-workers.
211,My supervisor doesn't have to coach me often but often makes compliments towards my completed work. She asks me for my opinion in some department decisions sometimes that helps me to feel respected. She is often more soft spoken with me than my co-workersbecause I can be a little sensitive at times.
212,"My working relationship with my leader is excellent. My leader provides me with no coaching and development, because that's not his job. His expertise is management, while mine is technical. My leader behaves in a consistently respectful way towards me. H also behaves in a consistently respectful way towards other employees under his management. Overall, this individual is a very effective leader who has a good relationship with everyone, and is very respectful of everyone's needs. He communicates very clarly, and takes other people's priorities into account when making decisions. Overall I'm pretty happy to be working for this leader."
213,"My leader is that in title only. I get very little to no guidance or advice from my leader. My leader has almost no real power as he is the CEO in title only and answers to his big brother who retired several years ago. No one has much respect for him, an he knows it. He doesn't attempt to provide any sort of leadership because he knows no one will take it to heart because he is so weak. I do feel sorry for him, but he has had many opportunities to stand up for himself and hasn't done so."
214,"My boss asks about my work, provides on the job training, and often rewards me with lunches when I do well. He respects my decisions and gives me  a lot of autonomy. If I have an issue, his office door is always open to me. If i have a family or health crsis he always gives me time off or allows me to telecommute from home. He appears to treat all employees in the same manner. He cares as much about us as he does the business and bottom line. He speaks to me in a manner that shows he does not feel he is aove me,"
215,My leader and I are kind of close.  We get along and she looks out for my best interests.  She is the best leader I have had compared to all the other leaders I have had in my life.  She is kind and caring.  She loves all her employees that she oversees. We all agree that she is a great leader.  Everyone here pretty much gets along and does the best work they can do.  No one wants to do a bad job.  I don't know what would happen if someone did a bad job because I haven't seen it happen.
216,"At my company there are many tools to help us learn and improve our performance, and my leader helps contribute to these tools and encourages use of them. My leader also seeks out info to help improve these tools. Everyone is treated equally and expected o use the learning tools as we see fit, but the onus is on us to perform and if we are able to do so without using the tools, fine, but if our performance falters, we will lose our job. This is a produce or perish organization, and any learning is up to te person, but it is necessary to be able to perform well."
217,"My leader leads the best by example.  He doesn't provide great direction in terms of where the organization is going, but my immediate manager gets down in the trenches with us and does the work.  He's very good at showing us what needs to be done and givng us the tools to do things in spite of not always delivering a clear direction.  Because of his efforts and our efforts, the job always does get done in a timely fashion because we are all willing to put in lots of hard work.  He shows he respects us beause he works with us, and he treats us all in the same way."
218,My manager and I have a good relationship.  I have been working with my manager for quite a few years now and I have come to depend on him for his support.  He regularly asks me if I need assistance with anything and is usually available when I have questons regarding any work assignments.  He has an open door policy so I can basically reach him at anytime if I need any coaching or help.  He shows that he respects me by actually listening to my ideas and actually implementing some of them.  He does with al of his workers.
219,"Six days each year we have coaching sessions.  These last for about 2-3 hour sessions.  My leader shows that he respects me by allowing me to just do my job with little to no interference.  He knows I do my job and he knows I do my job well.  So he just lts me do my job without constantly looking over my shoulder.  My relationship with my leader is about the same as my co-workers.  We can joke and carry on.  However, there are a few of my co-workers whom I feel get a little more special treatment from himthan I do."
220,"My manager is really good at taking the time to make sure I understand what I need to do and answer any questions I may have about how to do it. When I need time to learn a new program, he will give it to me a couple  of days in advance so I can become failiar with it before it is time to use it at work. He treats everyone at the office the same way. He really does seem to care about making sure we all can do our jobs to the best of our abilities and he helps us get the best results."
